2025-11-19 15:55:37,812 - INFO - ======================================================================
2025-11-19 15:55:37,813 - INFO - World Bank & GFDRR Climate Adaptation Metadata Collection
2025-11-19 15:55:37,813 - INFO - ======================================================================
2025-11-19 15:55:37,813 - INFO - Fetching ICR document metadata (limit: 200)...
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,306 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
2025-11-19 15:57:53,307 - ERROR - Error processing document metadata: 'str' object has no attribute 'get'
